AIRPORT,Latitude,Longitude,Year,Month,Dom_Flight_In,Dom_Flight_Out,Int_Flight_In,Int_Flight_Out
BRISBANE,-27.383333,153.118332,2017,1,679191,700014,280306,243488
BRISBANE,-27.383333,153.118332,2017,2,603110,607321,217270,195290
BRISBANE,-27.383333,153.118332,2017,3,704824,700905,215447,224530
BRISBANE,-27.383333,153.118332,2017,4,700334,701979,236642,240158
BRISBANE,-27.383333,153.118332,2017,5,693729,679803,207596,219433
BRISBANE,-27.383333,153.118332,2017,6,692620,694779,216431,240442
BRISBANE,-27.383333,153.118332,2017,7,785638,777468,272272,237677
BRISBANE,-27.383333,153.118332,2017,8,732144,735371,233723,250234
BRISBANE,-27.383333,153.118332,2017,9,757027,737443,245888,248264
BRISBANE,-27.383333,153.118332,2017,10,764991,789151,260136,234779
BRISBANE,-27.383333,153.118332,2017,11,738661,741905,222363,235437
BRISBANE,-27.383333,153.118332,2017,12,763468,738050,257004,294531
BRISBANE,-27.383333,153.118332,2018,1,681869,696460,296079,248966
BRISBANE,-27.383333,153.118332,2018,2,627502,632036,231627,211703
BRISBANE,-27.383333,153.118332,2018,3,732614,724871,241454,245843
BRISBANE,-27.383333,153.118332,2018,4,702211,701528,243330,247399
BRISBANE,-27.383333,153.118332,2018,5,705597,704367,222438,234141
BRISBANE,-27.383333,153.118332,2018,6,684834,679775,230782,257206
BRISBANE,-27.383333,153.118332,2018,7,803426,793303,297336,255284
BRISBANE,-27.383333,153.118332,2018,8,756649,754898,256833,277712
BRISBANE,-27.383333,153.118332,2018,9,732027,722595,257304,271474
BRISBANE,-27.383333,153.118332,2018,10,775645,787653,284433,248094
BRISBANE,-27.383333,153.118332,2018,11,745591,744689,231942,246721
BRISBANE,-27.383333,153.118332,2018,12,744079,720310,265519,308614
BRISBANE,-27.383333,153.118332,2019,1,680091,694414,317314,268620
BRISBANE,-27.383333,153.118332,2019,2,616250,622404,242960,216993
BRISBANE,-27.383333,153.118332,2019,3,716941,707741,236208,242477
BRISBANE,-27.383333,153.118332,2019,4,729676,729399,253286,268696
BRISBANE,-27.383333,153.118332,2019,5,713574,705242,239373,246644
BRISBANE,-27.383333,153.118332,2019,6,688110,690716,242225,271760
BRISBANE,-27.383333,153.118332,2019,7,807079,791137,313718,267968
BRISBANE,-27.383333,153.118332,2019,8,767014,761185,272091,295442
BRISBANE,-27.383333,153.118332,2019,9,760862,757044,262254,278326
BRISBANE,-27.383333,153.118332,2019,10,807162,817472,295301,259813
BRISBANE,-27.383333,153.118332,2019,11,746493,752828,255212,266720
BRISBANE,-27.383333,153.118332,2019,12,773116,744192,284412,327751
BRISBANE,-27.383333,153.118332,2020,1,707885,734476,333471,283668
